symbol,companyName,open,close,high,low,latestPrice,latestVolume,previousClose,change,changePercent,avgTotalVolume,marketCap,week52High,week52Low,ytdChange,primaryExchange,previousVolume,volume,peRatio,sector
AMBC,"Ambac Financial Group, Inc.",14.75,14.9,15.115,14.36,14.9,549429,14.33,0.57,0.03978,530967,682107100,22.9,8.74,-0.27102,New York Stock Exchange,603117,0,-1.51,Finance
CLNC,"Colony Credit Real Estate, Inc.",5.2,5.31,5.39,4.98,5.31,726448,5.01,0.3,0.05988,877630,682276590,16.36,2.46,-0.53872,New York Stock Exchange,578366,0,-1.34,Finance
PSPBZ,"PS Business Parks, Inc.",,24.95,24.95,24.6,24.95,596688,24.94,0.01,0.0004,744861,684553150,25.2,24.85,-0.0087,New York Stock Exchange,311867,0,,Finance
INN,"Summit Hotel Properties, Inc.",6.37,6.47,6.5,5.64,6.47,2687151,6.1,0.37,0.06066,1412337,684571711,12.59,2.32,-0.41754,New York Stock Exchange,1724514,0,,Finance
SPAQ=,Spartan Energy Acquisition Corp.,9.93,10.63,9.93,9.93,9.93,1,,,,,685170000,10.2,9.5,0,New York Stock Exchange,,0,,Finance
PSB-V,"PS Business Parks, Inc.",,,,,24.99,0,24.99,0,0,19271,685650630,26.11,23.03,0,New York Stock Exchange,10009,0,,Finance
PSB-U,"PS Business Parks, Inc.",,,,,24.99,0,24.99,0,0,69221,685650630,25.95,22.9,0,New York Stock Exchange,15960,0,,Finance
DQ,Daqo New Energy Corp.,53.15,51.89,53.824,50.4,51.89,340679,52.51,-0.62,-0.01181,210395,689160949,81.46,35.27,0.00169,New York Stock Exchange,191211,0,12.88,Process Industries
GSBD,"Goldman Sachs BDC, Inc.",17,17.06,17.23,16.7,17.06,261952,16.75,0.31,0.01851,292838,689251296,22.5,8,-0.17829,New York Stock Exchange,188411,0,-23.14,Finance
OFG,OFG Bancorp,13.54,13.51,13.57,12.92,13.51,460125,12.75,0.76,0.05961,478135,693611506,24.95,8.63,-0.36749,New York Stock Exchange,294351,0,27.03,Finance
OIBR.C,Oi SA,0.57,0.6,0.616,0.5564,0.6,3332367,0.56,0.04,0.07143,1419184,695573929,2.18,0.35,-0.32857,New York Stock Exchange,2578899,0,-0.32,Communications
PSB-W,"PS Business Parks, Inc.",25.33,25.39,25.4,25.3,25.39,9635,25.25,0.14,0.00554,14658,697701966,26.75,14.93,-0.00846,New York Stock Exchange,24012,0,,Finance
NAT,Nordic American Tankers Ltd.,4.54,4.76,4.79,4.43,4.76,8418165,4.41,0.35,0.07937,19320698,700819560,9,1.66,0.04097,New York Stock Exchange,8769737,0,-64.41,Transportation
CNXM,CNX Midstream Partners LP,7.71,7.82,7.86,7.34,7.82,519560,7.62,0.2,0.02625,1090772,702229744,16.94,5.2,-0.50125,New York Stock Exchange,391467,0,3.16,Industrial Services
PSB-Y,"PS Business Parks, Inc.",25.45,25.56,25.574,25.43,25.56,9838,25.54,0.02,0.00078,18421,702373464,27.03,14.5,-0.00312,New York Stock Exchange,11984,0,,Finance
AZRE,Azure Power Global Ltd.,14.92,14.75,15.2,14.65,14.75,4146,15,-0.25,-0.01667,14734,702632475,16.8,10.1,0.15493,New York Stock Exchange,6437,0,-25.11,Utilities
BKD,"Brookdale Senior Living, Inc.",3.8,3.84,3.94,3.6,3.84,3365689,3.65,0.19,0.05205,2449602,703349760,8.8,1.47,-0.42265,New York Stock Exchange,2970202,0,4.85,Health Services
GCO,"Genesco, Inc.",48.42,47.92,48.56,47.5,47.92,223118,48.35,-0.43,-0.00889,414932,704424000,53.2,31.65,0.05461,New York Stock Exchange,348021,0,9.72,Retail Trade
FEAC,Flying Eagle Acquisition Corp.,10.13,10.21,10.21,10.06,10.21,56442,10.2,0.01,0.00098,314463,704490000,10.68,9.81,0.02918,New York Stock Exchange,68518,0,,Finance
PSB-X,"PS Business Parks, Inc.",25.59,25.65,25.65,25.41,25.65,10374,25.52,0.13,0.00509,12862,704846610,27.85,15.13,-0.01481,New York Stock Exchange,13455,0,,Finance
PAM,Pampa Energía SA,11.5,11.07,11.65,10.825,11.07,659952,11.42,-0.35,-0.03065,415817,704850191,36.41,8.72,-0.36735,New York Stock Exchange,410971,0,1.06,Utilities
SPAQ,Spartan Energy Acquisition Corp.,10.23,10.22,10.245,10.22,10.22,167,10.24,-0.02,-0.00195,273933,705180000,10.31,9.75,0.00795,New York Stock Exchange,1618,0,69.95,Finance
JKS,"JinkoSolar Holding Co., Ltd.",16,15.78,16.17,15.12,15.78,1352852,15.84,-0.06,-0.00379,832368,705880018,28.84,11.42,-0.31139,New York Stock Exchange,1030619,0,5.35,Producer Manufacturing
LINX,Linx SA,3.91,3.9,3.97,3.79,3.9,110911,3.8,0.1,0.02632,130894,706177259,9.6,2.83,-0.53148,New York Stock Exchange,60546,0,63.93,Technology Services
