symbol,companyName,open,close,high,low,latestPrice,latestVolume,previousClose,change,changePercent,avgTotalVolume,marketCap,week52High,week52Low,ytdChange,primaryExchange,previousVolume,volume,peRatio,sector,esg_category
OXBRW,Oxbridge Re Holdings Ltd.,0.0301,0.025,0.049,0.023,0.025,8400,,,,,143350,0.18,0.01,0,NASDAQ,,0,,Finance,1
KBLMR,KBL Merger Corp. IV,0.0891,0.088,0.0959,0.0612,0.088,71550,,,,,389321,0.56,0.12,0,NASDAQ,,0,,Finance,3
LIVKW,LIV Capital Acquisition Corp.,,,0.3,0.3,0.3,0,,,,,624750,0,0,0,NASDAQ,,0,,Finance,2
ZGYHW,Yunhong International,,,0.1008,0.1008,0.1008,0,,,,,727776,0,0,0,NASDAQ,,0,,Finance,2
GLACW,Greenland Acquisition Corp.,0.18,0.149,0.19,0.1484,0.149,35100,,,,,861518,0.75,0.1,0,NASDAQ,,0,,Finance,1
GRNVW,Greenvision Acquisition Corp.,0.13,0.13,0.13,0.13,0.13,100,,,,,934375,0,0,0,NASDAQ,,0,,Finance,3
NBACR,Newborn Acquisition Corp.,0.16,0.16,0.164,0.16,0.16,23900,,,,,1193600,0,0,0,NASDAQ,,0,,Finance,2
AGBAR,AGBA Acquisition Ltd.,,,0.1999,0.1999,0.1999,0,,,,,1194403,0,0,0,NASDAQ,,0,,Finance,2
SJOYW,Scienjoy Holding Corp.,0.24,0.2,0.24,0.19,0.2,124125,,,,,1491600,0,0,0,NASDAQ,,0,,Finance,4
JFKKW,8i Enterprises Acquisition Corp.,0.1825,0.252,0.35,0.1125,0.252,2038,,,,,1871730,0,0,0,NASDAQ,,0,,Finance,1
APEX,"APEX Global Brands, Inc.",0.53,0.59,0.65,0.5288,0.59,1426071,0.5138,0.0762,0.14831,251610,3286890,2.82,0.26,-0.14089,NASDAQ,209672,0,-0.28,Consumer Non-Durables,2
GSMGW,Glory Star New Media Group Holdings Ltd.,0.06,0.06,0.06,0.051,0.06,230,,,,,3353934,0,0,0,NASDAQ,,0,,Finance,3
OPTT,"Ocean Power Technologies, Inc.",0.48,0.43,0.48,0.412,0.43,509323,0.4598,-0.0298,-0.06481,1372700,3980080,2.58,0.329,-0.59231,NASDAQ,2367574,0,-0.17,Producer Manufacturing,4
WRLSR,"American Virtual Cloud Technologies, Inc.",,,0.2188,0.2188,0.2188,0,,,,,4296313,0.55,0.18,0,NASDAQ,,0,,Finance,1
ARTL,"Artelo Biosciences, Inc.",1.3,1.43,1.46,1.22,1.43,226589,1.32,0.11,0.08333,79696,4901182,12,0.61,-0.42017,NASDAQ,92659,0,-0.59,Retail Trade,2
SINO,Sino-Global Shipping America Ltd.,0.377,0.37,0.377,0.352,0.37,109783,0.377,-0.007,-0.01857,191990,6748430,0.81,0.2802,-0.23967,NASDAQ,135097,0,-1.01,Transportation,4
PSTV,"Plus Therapeutics, Inc.",1.76,1.73,1.76,1.69,1.73,54539,1.71,0.02,0.0117,107021,7112653,22.89,0.931,-0.2675,NASDAQ,84734,0,-0.27,Health Technology,2
FFHL,"Fuwei Films (Holdings) Co., Ltd.",2.35,2.31,2.35,2.241,2.31,10187,2.25,0.06,0.02667,28818,7544090,7.37,1.56,-0.14533,NASDAQ,10029,0,4.72,Process Industries,4
SPEX,"Spherix, Inc.",,,,,1.63,0,1.63,0,0,7617176,7865645,5.52,0.65,0.164286,NASDAQ,4997123,0,,Health Technology,2
PIXY,"ShiftPixy, Inc.",5.3,5.24,5.3,5.07,5.24,655885,5.23,0.01,0.00191,2445573,7967734,30.44,3.21,-0.41389,NASDAQ,1132661,0,-0.28,Commercial Services,3
TWMC,Trans World Entertainment Corp.,5.13,5.14,5.31,4.902,5.14,23890,4.98,0.16,0.03213,18902,9349660,9.72,1.68,1.57673,NASDAQ,14350,0,-0.01,Retail Trade,2
MOXC,"Moxian, Inc.",0.7,0.61,0.7,0.5913,0.61,46344,0.6533,-0.0433,-0.06628,27191,9876815,3.49,0.5,-0.77578,NASDAQ,25611,0,21.11,Technology Services,2
YVR,Liquid Media Group Ltd.,1.58,1.46,1.59,1.45,1.46,172578,1.59,-0.13,-0.08176,195553,9906348,3.69,1.1,-0.36256,NASDAQ,125179,0,-1.17,Technology Services,1
IPDN,"Professional Diversity Network, Inc.",,,0.91,0.91,0.91,0,0.91,0,0,0,9942569,3.16,0.78,0,NASDAQ,,0,-1.63,Technology Services,2
MYOS,"MYOS RENS Technology, Inc.",0.98,0.97,1.01,0.96,0.97,428920,0.9512,0.0188,0.01976,844292,10699197,1.8,0.7412,-0.18514,NASDAQ,352167,0,-2.17,Health Technology,2
PHIO,Phio Pharmaceuticals Corp.,2.42,2.35,2.457,2.21,2.35,169018,2.39,-0.04,-0.01674,408861,10765186,26.79,1.6,-0.77814,NASDAQ,1015228,0,-0.38,Health Technology,2
LEDS,SemiLEDs Corp.,3.09,2.96,3.149,2.76,2.96,252621,3.24,-0.28,-0.08642,455050,11168080,4.1,1.03,0.40848,NASDAQ,1295955,0,-6.21,Electronic Technology,3
TYHT,"Shineco, Inc.",0.4,0.42,0.435,0.4,0.42,122420,0.4243,-0.0043,-0.01013,143912,11479860,1.07,0.35,-0.32723,NASDAQ,129948,0,-2.25,Process Industries,4
EVOL,"Evolving Systems, Inc.",0.98,0.99,0.99,0.93,0.99,8031,0.9924,-0.0024,-0.00242,23095,12072555,1.31,0.561,0.11608,NASDAQ,8593,0,-1.4,Technology Services,2
TENX,"Tenax Therapeutics, Inc.",1.34,1.32,1.35,1.25,1.32,152221,1.27,0.05,0.03937,336449,12168499,1.68,0.25,-0.03103,NASDAQ,565763,0,-0.94,Health Technology,2
MARA,"Marathon Patent Group, Inc.",0.73,0.72,0.75,0.7022,0.72,1979835,0.7194,0.0006,0.00083,4591055,13115664,3.49,0.3522,-0.18227,NASDAQ,1907576,0,-1.55,Commercial Services,4
AMCIW,AMCI Acquisition Corp.,0.46,0.4798,0.5,0.4,0.4798,10300,,,,,13225696,0.35,0.32,0,NASDAQ,,0,,Finance,2
CLIR,ClearSign Technologies Corp.,0.52,0.5,0.53,0.485,0.5,242971,0.5067,-0.0067,-0.01322,180954,13354900,1.5,0.35,-0.33182,NASDAQ,766834,0,-1.65,Electronic Technology,1
DRIO,DarioHealth Corp.,6.82,6.38,6.82,5.97,6.38,38931,6.5,-0.12,-0.01846,82385,13939343,13.13,3.02,-0.03996,NASDAQ,82934,0,-0.61,Health Technology,2
EDNT,"Edison Nation, Inc.",2.45,2.44,2.45,2.32,2.44,150525,2.41,0.03,0.01245,1277264,14759560,5.2,1.32,0.23245,NASDAQ,670037,0,-1.97,Commercial Services,2
TAIT,"Taitron Components, Inc.",2.59,2.55,2.6,2.36,2.55,18998,2.49,0.06,0.0241,7697,14783911,3.99,2.02,-0.0843,NASDAQ,15201,0,21.65,Distribution Services,3
EFOI,"Energy Focus, Inc.",0.98,0.94,0.98,0.8211,0.94,1273473,0.8994,0.0406,0.04514,1322424,14943180,1.16,0.1614,0.99454,NASDAQ,5143684,0,-2.35,Producer Manufacturing,4
CIICW,CIIG Merger Corp.,0.6,0.6,0.6,0.6,0.6,1,,,,,15525000,0,0,0,NASDAQ,,0,,Finance,3
AKER,"Akers Biosciences, Inc.",3.57,3.44,3.57,3.33,3.44,803372,3.5,-0.06,-0.01714,1398730,16358610,16.32,1.55,0.05786,NASDAQ,1346247,0,-0.56,Health Technology,2
CHCI,"Comstock Holding Cos., Inc.",2.02,2.04,2.055,1.99,2.04,29987,1.96,0.08,0.04082,566057,16384831,6.26,1.06,0.05072,NASDAQ,12408,0,17.83,Consumer Durables,3
RMBL,"RumbleOn, Inc.",7.65,7.41,7.8,7.11,7.41,148723,7.55,-0.14,-0.01854,445680,16396107,104.6,3,-0.57744,NASDAQ,452885,0,-0.18,Technology Services,2
TMDI,"Titan Medical, Inc.",0.3,0.28,0.314,0.2612,0.28,2973555,0.32,-0.04,-0.125,2051047,16780792,2.9,0.1221,-0.576,NASDAQ,1014724,0,-0.61,Health Technology,3
USAU,U.S. Gold Corp.,6.57,7.21,7.265,6.5,7.21,216843,6.5,0.71,0.10923,71105,17203060,14,2.61,-0.01147,NASDAQ,621778,0,-1.9,Non-Energy Minerals,3
NVUS,"Novus Therapeutics, Inc.",1.18,1.14,1.19,1.02,1.14,457960,1.19,-0.05,-0.04202,844281,18319344,1.86,0.25,0.88658,NASDAQ,971739,0,-0.84,Health Technology,2
ELTK,Eltek Ltd.,4.21,4.19,4.21,4.13,4.19,18929,4.13,0.06,0.01453,45038,18353331,11.56,1.54,0.16883,NASDAQ,10424,0,8.67,Electronic Technology,4
PDSB,PDS Biotechnology Corp.,1.26,1.22,1.26,1.12,1.22,606308,1.17,0.05,0.04274,1271187,18741152,7.84,0.6153,-0.49516,NASDAQ,886697,0,-0.4,Health Technology,2
SEED,Origin Agritech Ltd.,3.78,3.74,3.89,3.51,3.74,7970,3.63,0.11,0.0303,27001,18743833,10.73,2.76,-0.2982,NASDAQ,7245,0,-1.69,Process Industries,4
ESEA,Euroseas Ltd.,3.97,3.4,5.1,3.02,3.4,11388685,2.43,0.97,0.39918,422781,19040884,6.56,1.23,0.24918,NASDAQ,12472,0,-3.14,Transportation,2
BWMCW,Boxwood Merger Corp.,,,,,0.8,0,,,,,20200000,0.8,0,0,NASDAQ,,0,,Finance,3
FTEK,"Fuel Tech, Inc.",0.8444,0.82,0.855,0.8001,0.82,117187,0.8597,-0.0397,-0.04618,1706211,20201848,1.8,0.3,-0.19198,NASDAQ,146489,0,-2.18,Industrial Services,4
BSQR,BSQUARE Corp.,1.6,1.57,1.65,1.54,1.57,71273,1.53,0.04,0.02614,39228,20564959,1.73,0.83,0.17214,NASDAQ,74043,0,-2.98,Technology Services,1
IDXG,"Interpace Biosciences, Inc.",5.25,5.18,5.3,4.95,5.18,47291,5.15,0.03,0.00583,111855,20909588,11,3.81,-0.00747,NASDAQ,35027,0,-1.02,Health Services,2
WRLS,Pensare Acquisition Corp.,,,3.95,2.21,2.68,0,2.68,0,0,8817,21260440,11.25,2.1,-0.6958,NASDAQ,131174,0,-5.44,Finance,2
PRPH,"ProPhase Labs, Inc.",,,,,1.84,251,1.94,-0.1,-0.05155,1869,21296160,3.36,1.63,-0.126927,NASDAQ,72,0,-6.78,Consumer Non-Durables,3
JCTCF,Jewett-Cameron Trading Co. Ltd.,6,6.2,6.374,6.05,6.2,1427,6.09,0.11,0.01806,2300,21583192,9.1,5,-0.20504,NASDAQ,267,0,17.44,Distribution Services,3
NEON,"Neonode, Inc.",2.48,2.56,2.569,2.43,2.56,6850,2.52,0.04,0.01587,35898,22556160,3.8,1.09,0.276954,NASDAQ,7508,6850,-5.94,Electronic Technology,1
WHLM,"Wilhelmina International, Inc.",4.5,4.5,4.5,4.31,4.5,43,4.5,0,0,503,23206500,6.22,2.35,-0.1228,NASDAQ,32,0,-3.17,Commercial Services,3
HX,Hexindai Inc.,0.43,0.48,0.5099,0.43,0.48,184282,0.43,0.05,0.11628,110392,23367104,2.84,0.25,-0.37312,NASDAQ,165592,0,-0.75,Finance,3
GYRO,Gyrodyne LLC,16.09,16.09,16.11,16.09,16.09,1289,16.04,0.05,0.00312,138,23861470,20,14.2,-0.14058,NASDAQ,,0,-10.36,Finance,1
WVVIP,"Willamette Valley Vineyards, Inc.",4.75,4.85,4.905,4.75,4.85,385,4.76,0.09,0.01891,424,24080250,5.25,4.2,0.00871,NASDAQ,1136,0,,Consumer Non-Durables,2
AIKI,"AIkido Pharma, Inc.",0.72,0.71,0.73,0.7012,0.71,1015907,0.73,-0.02,-0.0274,3395047,24793342,5.46,0.4748,-0.5129,NASDAQ,1359456,0,-0.3,Health Technology,2
NCSM,"NCS Multistage Holdings, Inc.",0.535,0.53,0.548,0.5212,0.53,95718,0.539,-0.009,-0.0167,121988,24998033,3.96,0.3119,-0.7631,NASDAQ,276623,0,-0.34,Industrial Services,4
FSRVW,Finserv Acquisition Corp.,,,0.8,0.8,0.8,0,,,,,25532000,0,0,0,NASDAQ,,0,,Finance,2
DAIO,Data I/O Corp.,3.04,3.12,3.29,3.04,3.12,12266,3.04,0.08,0.02632,17689,25651174,4.73,2.34,-0.23788,NASDAQ,13239,0,-14.5,Electronic Technology,3
MOGO,"Mogo, Inc.",0.915,0.93,0.9498,0.9,0.93,152239,0.9298,0.0002,0.00022,279175,25920030,1.34,0.7248,-0.00188,NASDAQ,354451,0,-3.51,Finance,2
KZIA,Kazia Therapeutics Ltd.,2.85,2.75,2.85,2.67,2.75,18779,2.71,0.04,0.01476,28325,26014560,9.74,2.24,-0.36724,NASDAQ,35665,0,-5.06,Health Technology,2
KEQU,Kewaunee Scientific Corp.,9.08,9.5,9.5,9.08,9.5,1811,9.08,0.42,0.04626,3191,26134500,22.53,6.96,-0.26784,NASDAQ,4041,0,-5.33,Producer Manufacturing,4
TRIB,Trinity Biotech Plc,1.56,1.29,1.56,1.21,1.29,3592475,1.63,-0.34,-0.20859,772783,26963584,2.66,0.56,0.04381,NASDAQ,1737459,0,-6.03,Health Technology,2
AEZS,"Æterna Zentaris, Inc.",1.17,1.15,1.18,1.11,1.15,162277,1.13,0.02,0.0177,454852,26993720,3.22,0.3962,0.2677,NASDAQ,327622,0,-53.99,Health Technology,2
STRM,"Streamline Health Solutions, Inc.",0.9935,0.97,0.9935,0.921,0.97,11743,0.9548,0.0152,0.01592,70543,29987356,2.09,0.529,-0.26558,NASDAQ,20123,0,7.85,Technology Services,1
BRPA,Big Rock Partners Acquisition Corp.,10.65,11.07,11.07,10.65,11.07,1,11.07,0,0,166,30066452,12.04,9.8,0.0463,NASDAQ,100,0,86.21,Finance,2
AVCT,"American Virtual Cloud Technologies, Inc.",1.57,1.54,1.57,1.45,1.54,156132,1.55,-0.01,-0.00645,575245,30239132,11.25,1.45,-0.83165,NASDAQ,122578,0,-3.12,Finance,3
AMR,"Alta Mesa Resources, Inc.",0.0888,0.08,0.0888,0.077,0.08,5066962,0.09,-0.01,-0.11111,3875577,31058551,4.51,0.065,-1.039038,NASDAQ,4693985,0,-0.59,Energy Minerals,3
MDJH,Mdjm Ltd.,2.715,2.8,3,2.52,2.8,6175,2.79,0.01,0.00358,15438,32594240,6.17,1.94,0.06818,NASDAQ,563,0,-64.97,Finance,1
MBNKP,Medallion Bank,17.2,18,18,17.25,18,5106,,,,,33120000,0,0,0,NASDAQ,,0,,Finance,3
INOD,"Innodata, Inc.",1.44,1.37,1.5,1.3,1.37,157909,1.38,-0.01,-0.00725,39998,33508830,1.61,0.75,0.19455,NASDAQ,100254,0,-23.06,Technology Services,1
IMBI,"iMedia Brands, Inc.",3.27,3.78,3.89,2.39,3.78,456031,3.35,0.43,0.12836,79943,33830017,7.3,1.35,0.07096,NASDAQ,379700,0,-0.7,Retail Trade,2
TNXP,Tonix Pharmaceuticals Holding Corp.,0.68,0.66,0.6845,0.64,0.66,4049464,0.684,-0.024,-0.03509,4463102,34672968,20.26,0.3902,-0.48049,NASDAQ,4122986,0,-0.04,Health Technology,2
SAQNU,"Software Acquisition Group, Inc.",,,9.98,9.98,9.98,0,,,,,37300250,0,0,0,NASDAQ,,0,932.71,Finance,2
ETTX,"Entasis Therapeutics Holdings, Inc.",2.34,2.58,2.64,2.34,2.58,34455,2.38,0.2,0.08403,24659,37704378,9.25,1.75,-0.40097,NASDAQ,24189,0,-0.74,Health Technology,2
NSEC,"National Security Group, Inc.",15.975,15.46,15.99,14.9,15.46,2911,14.9,0.56,0.03758,352,39111790,16.95,10.01,0.06958,NASDAQ,1801,0,51.23,Finance,2
GECC,Great Elm Capital Corp.,3.55,3.97,3.99,3.528,3.97,229805,3.44,0.53,0.15407,83651,39950110,9.05,2.25,-0.33633,NASDAQ,227241,0,-0.81,Finance,2
PAVMW,"PAVmed, Inc.",0.89,0.91,1.18,0.91,0.91,108,,,,,40586364,0.68,0.08,0,NASDAQ,,0,,Health Technology,2
HWCC,Houston Wire & Cable Co.,2.43,2.45,2.462,2.4,2.45,9725,2.42,0.03,0.0124,30334,40632025,5.73,1.67,-0.432,NASDAQ,13748,0,50.31,Producer Manufacturing,3
DTSS,"Datasea, Inc.",1.91,1.96,1.965,1.87,1.96,4799,1.93,0.03,0.01554,5731,41049848,7.39,0.7654,-0.33326,NASDAQ,2215,0,-22.25,Technology Services,2
KLXE,"KLX Energy Services Holdings, Inc.",1.77,1.67,1.82,1.59,1.67,914352,1.77,-0.1,-0.0565,1891871,41320142,23.17,0.505,-0.7984,NASDAQ,930834,0,-0.39,Industrial Services,3
LOAN,"Manhattan Bridge Capital, Inc.",4.45,4.6,4.6,4.32,4.6,35355,4.35,0.25,0.05747,36659,44296804,6.72,2.54,-0.21813,NASDAQ,28240,0,10.12,Finance,3
KTCC,Key Tronic Corp.,4.08,4.15,4.15,4.07,4.15,3539,4,0.15,0.0375,26774,44652755,6.99,2.51,-0.1996,NASDAQ,53210,0,10.88,Electronic Technology,1
GIFI,"Gulf Island Fabrication, Inc.",2.88,2.96,2.99,2.9,2.96,78519,2.87,0.09,0.03136,102400,45258400,8.7,2.67,-0.39054,NASDAQ,95984,0,-1.12,Producer Manufacturing,4
CBMB,"CBM Bancorp, Inc.",11.9,12.16,12.163,11.9,12.16,1589,12.1,0.06,0.00496,3367,46732826,15.3,10.61,-0.13564,NASDAQ,311,0,58.43,Finance,2
JCS,"Communications Systems, Inc.",5,5.05,5.11,4.97,5.05,41185,4.99,0.06,0.01202,29234,47225025,9.9,2.66,-0.17218,NASDAQ,92571,0,6.07,Electronic Technology,1
SJ,Scienjoy Holding Corp.,5.93,6.52,6.61,6.4,6.52,22280,6.28,0.24,0.03822,37584,48626160,11.33,5.55,-0.32258,NASDAQ,48004,0,2963.64,Commercial Services,2
ASRV,"AmeriServ Financial, Inc.",2.95,3.01,3.03,2.77,3.01,11439,2.97,0.04,0.01347,14606,51301236,4.3,2.36,-0.26983,NASDAQ,12724,0,9.34,Finance,3
KTOV,Kitov Pharma Ltd.,0.555,0.55,0.555,0.5266,0.55,10448800,0.56,-0.01,-0.01786,21775297,52553380,1.08,0.22,-0.31276,NASDAQ,14531135,0,-1.82,Health Technology,2
RFIL,RF Industries Ltd.,5.56,5.5,5.65,5.41,5.5,14884,5.56,-0.06,-0.01079,17897,53669000,8.89,3.31,-0.20789,NASDAQ,22102,0,17.74,Electronic Technology,2
PTMN,Portman Ridge Finance Corp.,1.18,1.2,1.2,1.165,1.2,225844,1.15,0.05,0.04348,218744,53671080,2.75,0.75,-0.38512,NASDAQ,104369,0,-1.73,Finance,3
MOHO,ECMOHO Ltd.,3.53,3.53,3.65,3.36,3.53,57580,3.59,-0.06,-0.01671,43077,56097966,11.51,2.88,-0.40701,NASDAQ,56922,0,15.48,Distribution Services,3
BKEP,BlueKnight Energy Partners LP,1.39,1.37,1.4,1.36,1.37,60879,1.39,-0.02,-0.01439,250124,56217950,1.55,0.53,0.13691,NASDAQ,67695,0,-5.24,Industrial Services,3
ORSN,Orisun Acquisition Corp.,,,10.08,10.01,10.02,0,10.02,0,0,10498,57945660,10.24,6.01,0.0091,NASDAQ,,0,,Finance,2
KFFB,Kentucky First Federal Bancorp,6.73,7.23,7.94,6.53,7.23,8863,6.4,0.83,0.12969,1753,59735778,8.15,4.4,0.05659,NASDAQ,1872,0,58.5,Finance,2
CAAS,"China Automotive Systems, Inc.",2.19,1.93,2.19,1.81,1.93,59743,2.16,-0.23,-0.10648,25121,60165820,4.16,1.43,-0.49568,NASDAQ,21423,0,6.09,Producer Manufacturing,4
CTG,"Computer Task Group, Inc.",4.34,4.01,4.43,4.01,4.01,35985,4.2,-0.19,-0.04524,19316,60423482,6.48,2.86,-0.28864,NASDAQ,16503,0,11.67,Technology Services,2
AGBAU,AGBA Acquisition Ltd.,,,10.22,10.22,10.22,0,,,,,61064500,0,0,0,NASDAQ,,0,,Finance,3
VCNX,"Vaccinex, Inc.",3.77,3.77,3.85,3.65,3.77,32343,3.85,-0.08,-0.02078,70304,62750142,12.23,3.38,-0.27428,NASDAQ,49946,0,-1.72,Health Technology,2
MBRX,"Moleculin Biotech, Inc.",,,1.09,1.03,1.07,0,1.07,0,0,2685168,64631424,1.97,0.323,0.1758,NASDAQ,,0,-4.71,Health Technology,2
FXNC,First National Corp. (Virginia),13.89,13.43,13.6,12.85,13.43,30262,13.38,0.05,0.00374,3077,65135500,24.55,12.85,-0.34246,NASDAQ,3221,0,7.41,Finance,2
ALPN,"Alpine Immune Sciences, Inc.",3.54,3.52,3.55,3.45,3.52,11782,3.41,0.11,0.03226,14857,65429760,5.35,2.05,-0.08334,NASDAQ,52311,0,-1.87,Health Technology,2
RNWK,"RealNetworks, Inc.",1.25,1.73,1.84,1.23,1.73,7345207,1.2,0.53,0.44167,801178,66146896,2.08,0.32,0.89547,NASDAQ,1138201,0,-2.52,Technology Services,2
BLNK,Blink Charging Co.,2.69,2.55,2.829,2.4,2.55,1766286,2.68,-0.13,-0.04851,732940,67110900,4.25,1.5,0.300696,NASDAQ,9271572,1766286,-7.95,Commercial Services,3
LACQ,Leisure Acquisition Corp.,10.4,10.4,11.44,10.4,10.4,2,10.4,0,0,151,68689712,12.37,9.12,-0.001,NASDAQ,514,0,-144.85,Finance,2
FFBW,"FFBW, Inc.",9.19,9.1,9.2,9.1,9.1,37436,9.1,0,0,6982,70115500,11.1,6.74,-0.0789,NASDAQ,2199,0,43.73,Finance,2
CHPM,CHP Merger Corp.,9.8,9.8,9.8,9.8,9.8,6123,9.72,0.08,0.00823,36935,73500000,10.02,9.2,-0.00187,NASDAQ,,0,,Finance,2
NBACU,Newborn Acquisition Corp.,9.93,9.99,9.99,9.93,9.99,25351,,,,,74525400,0,0,0,NASDAQ,,0,,Finance,3
EPSN,Epsilon Energy Ltd.,2.95,2.84,2.92,2.73,2.84,1319908,2.88,-0.04,-0.01389,86386,74700520,3.5,2.32,-0.15069,NASDAQ,22978,0,10.11,Energy Minerals,4
MITO,Stealth BioTherapeutics Corp.,2.13,2.08,2.14,1.92,2.08,101050,2.12,-0.04,-0.01887,122104,75698274,14.41,0.9,-0.38857,NASDAQ,142949,0,-0.67,Health Technology,2
TORC,"resTORbio, Inc.",2.32,2.1,2.34,2.04,2.1,1249148,2.28,-0.18,-0.07895,1746122,76536600,11.96,0.86,0.33045,NASDAQ,2285717,0,-0.97,Health Technology,2
OPOF,Old Point Financial Corp.,15.3,15.03,15.58,14.77,15.03,2070,15.5,-0.47,-0.03032,6409,78449235,30.05,10.86,-0.48062,NASDAQ,1600,0,11.03,Finance,3
OTIC,"Otonomy, Inc.",2.47,2.56,2.56,2.36,2.56,71524,2.46,0.1,0.04065,67696,79022080,4.18,1.53,-0.31125,NASDAQ,67044,0,-1.77,Health Technology,2
HTBX,"Heat Biologics, Inc.",1.14,0.97,1.16,0.8531,0.97,34035997,0.9503,0.0197,0.02073,8622470,82129221,1.25,0.195,0.96073,NASDAQ,25392124,0,-1.81,Health Technology,2
ALYA,"Alithya Group, Inc.",1.72,1.65,1.69,1.65,1.65,3098,1.69,-0.04,-0.02367,6392,83953650,3.19,0.9615,-0.43017,NASDAQ,3511,0,-14.51,Technology Services,1
ZDPFEX,"Black Creek Diversified Property Fund, Inc.",,,7.53,7.43,7.53,0,7.53,0,0,0,87280230,7.53,7.51,0,NASDAQ,,0,7.68,Finance,1
SESN,"Sesen Bio, Inc.",0.88,0.82,0.8888,0.79,0.82,1599101,0.8701,-0.0501,-0.05758,1265801,90541120,2.6,0.37,-0.28398,NASDAQ,1739764,0,-1.1,Health Technology,2
VUZI,Vuzix Corp.,2.73,2.45,2.76,2.32,2.45,1684266,2.73,-0.28,-0.10256,2349107,96302640,5,0.86,0.09254,NASDAQ,1231317,0,-2.84,Electronic Technology,2
OPBK,OP Bancorp,6.2,6.4,6.4,6.16,6.4,56312,6.13,0.27,0.04405,36494,96337280,10.84,5.54,-0.31595,NASDAQ,34575,0,6.69,Finance,3
GEOS,Geospace Technologies Corp.,7.19,7.27,7.3,6.85,7.27,110626,7.07,0.2,0.02829,107705,99344550,17.66,4.61,-0.54301,NASDAQ,74945,0,-12.21,Industrial Services,3
WHLRD,"Wheeler Real Estate Investment Trust, Inc.",10.72,10.25,10.78,10,10.25,4700,10,0.25,0.025,1998,99363500,18.83,4.5,-0.3029,NASDAQ,507,0,,Finance,3
WIN,"Windstream Holdings, Inc.",,,30800,28600,3.045,,,,,0,111264300,30800,0,0,NASDAQ,,,,Communications,1
WINTD,"Windtree Therapeutics, Inc.",,,7.29,5.99,8.25,0,8.25,0,0,460,113001900,14.97,4,-0.352941,NASDAQ,2348,0,-5.36,Health Technology,2
CATB,"Catabasis Pharmaceuticals, Inc.",6.17,6.32,6.38,5.96,6.32,114446,6.13,0.19,0.031,142334,113110304,8.19,2.74,0.0739,NASDAQ,81069,0,-2.83,Health Technology,2
CRVS,"Corvus Pharmaceuticals, Inc.",4.07,4.05,4.2,3.84,4.05,342257,3.7,0.35,0.09459,152595,113209650,8.1,1.01,-0.17441,NASDAQ,153714,0,-2.48,Health Technology,2
SYNL,Synalloy Corp.,,,,,12.6,39075,13.03,-0.43,-0.033,24989,113828400,19.65,11.45,-0.042434,NASDAQ,120592,0,-71.15,Producer Manufacturing,2
ABDC,Alcentra Capital Corp.,,,,,8.9,0,9.2,-0.3,-0.03261,53976,114596400,9.5,6.91,-0.03261,NASDAQ,121345,0,16.49,Finance,3
RESN,"Resonant, Inc.",2.26,2.28,2.28,2.12,2.28,498641,2.25,0.03,0.01333,998188,120267948,3.58,0.9507,-0.06727,NASDAQ,546531,0,-2.42,Electronic Technology,4
MBCN,Middlefield Banc Corp.,19.22,18.9,19.39,18.58,18.9,8146,19.09,-0.19,-0.00995,7763,120382983,28.8,12,-0.29705,NASDAQ,11973,0,11.36,Finance,1
WLFC,Willis Lease Finance Corp.,19.51,19.99,20.77,18.538,19.99,14628,19.05,0.94,0.04934,15095,120399970,74.46,14.11,-0.61446,NASDAQ,24798,0,2.49,Finance,2
MESA,"Mesa Air Group, Inc.",4.1,3.69,4.23,3.61,3.69,2239006,3.74,-0.05,-0.01337,927673,121914279,11.08,2.05,-0.60157,NASDAQ,933727,0,4.63,Transportation,3
PCTI,"PCTEL, Inc.",6.43,6.59,6.68,6.375,6.59,76975,6.39,0.2,0.0313,112144,122448790,9.65,3.95,-0.197,NASDAQ,109792,0,34.9,Communications,1
CIZN,Citizens Holding Co. (Mississippi),21.79,22.16,22.3,21,22.16,16277,21.61,0.55,0.02545,5023,123877281,22.99,16.02,0.01035,NASDAQ,22912,0,19.88,Finance,1
MNSB,"MainStreet Bancshares, Inc.",13.5,15.01,15.49,12.57,15.01,30053,13.27,1.74,0.13112,17308,123982600,24.6,12.31,-0.21858,NASDAQ,33795,0,8.75,Finance,2
ACRX,"AcelRx Pharmaceuticals, Inc.",1.69,1.55,1.7,1.46,1.55,1498875,1.64,-0.09,-0.05488,1085025,124644490,3.02,0.7014,-0.32718,NASDAQ,1334302,0,-2.22,Health Technology,2
ALDX,"Aldeyra Therapeutics, Inc.",4.11,4.19,4.348,3.78,4.19,1441974,4.11,0.08,0.01946,825912,124824709,8.05,1.48,-0.27034,NASDAQ,819627,0,-2.1,Health Technology,3
PHAS,"PhaseBio Pharmaceuticals, Inc.",4.54,4.42,4.546,4.35,4.42,2145102,4.49,-0.07,-0.01559,357040,127212020,14.08,2.6,-0.30269,NASDAQ,179882,0,-2.7,Health Technology,2
BELFA,"Bel Fuse, Inc.",9.9,10.75,11.08,9.9,10.75,947,9.32,1.43,0.15343,2967,131855200,17.66,6.08,-0.17467,NASDAQ,195,0,-10.98,Electronic Technology,1
PVAC,Penn Virginia Corp.,8.36,8.85,9.015,7.86,8.85,1302101,8.26,0.59,0.07143,1478049,134148300,37.12,0.99,-0.64017,NASDAQ,1303830,0,0.49,Energy Minerals,3
