symbol,companyName,open,close,high,low,latestPrice,latestVolume,previousClose,change,changePercent,avgTotalVolume,marketCap,week52High,week52Low,ytdChange,primaryExchange,previousVolume,volume,peRatio,sector,esg_category
DRUA,"Dominion Energy, Inc.",25.86,26.09,26.09,25.841,26.09,47735,25.84,0.25,0.00967,52057,21896058590,26.85,19.01,0.00207,New York Stock Exchange,48704,0,,Utilities,3
RMD,"ResMed, Inc.",159.68,153.71,159.735,149.16,153.71,1006546,160.48,-6.77,-0.04219,655371,22236918280,177.99,108.85,-0.05309,New York Stock Exchange,761696,0,43.22,Health Technology,2
AVB,"AvalonBay Communities, Inc.",165,158.9,165,157.4,158.9,1015334,160.41,-1.51,-0.00941,1231281,22362155900,229.4,118.17,-0.25441,New York Stock Exchange,983629,0,28.36,Finance,3
OTIS,Otis Worldwide Corp.,51.59,52.38,52.65,50.77,52.38,5217390,50.89,1.49,0.02928,4965133,22684678020,54.7,41.26,0.19278,New York Stock Exchange,6247010,0,,Producer Manufacturing,3
SLB,Schlumberger NV,18.89,19.05,19.27,18.19,19.05,13702274,18.4,0.65,0.03533,17698985,26437780500,41.4,11.87,-0.49457,New York Stock Exchange,11760893,0,-1.47,Industrial Services,2
TWLO,"Twilio, Inc.",189.33,192.35,192.98,177.13,192.35,6641683,196.4,-4.05,-0.02062,5738229,26923410309,209.94,68.06,0.90268,New York Stock Exchange,6338867,0,-71.37,Technology Services,2
AIG,"American International Group, Inc.",32.56,31.51,32.96,31.21,31.51,8327613,31.01,0.5,0.01612,7748403,27139247900,58.66,16.07,-0.37368,New York Stock Exchange,8361382,0,6.25,Finance,2
TEL,TE Connectivity Ltd.,81.92,83.22,83.315,80.58,83.22,1773918,80.62,2.6,0.03225,1975006,27449950560,101,48.62,-0.10845,New York Stock Exchange,1729642,0,40.28,Electronic Technology,3
VLO,Valero Energy Corp.,70.1,70.18,71.285,68.75,70.18,4359766,68.7,1.48,0.02154,5091862,28612315820,101.99,31,-0.23686,New York Stock Exchange,4833519,0,71,Energy Minerals,2
RACE,Ferrari NV,164.99,163.37,164.99,161.12,163.37,335604,162.78,0.59,0.00362,271474,28684170835,180.95,127.73,-0.01838,New York Stock Exchange,175488,0,40.03,Consumer Durables,1
DOW,"Dow, Inc.",,,40.665,39.03,39.82,6823427,38.79,1.03,0.02655,6057552,29495908420,56.25,21.95,-0.25245,New York Stock Exchange,6188630,0,-17.5,Process Industries,2
ORAN,Orange SA,11.28,11.43,11.44,11.22,11.43,871643,11.11,0.32,0.0288,612421,30293123676,16.64,9.93,-0.1952,New York Stock Exchange,520677,0,9.03,Communications,2
MFG,"Mizuho Financial Group, Inc.",2.42,2.45,2.46,2.4,2.45,1287856,2.36,0.09,0.03814,1062734,31066481658,3.2,1.96,-0.16636,New York Stock Exchange,717853,0,7.53,Finance,2
BMO,Bank of Montreal,50.35,51.66,52.23,50.19,51.66,1551739,50.74,0.92,0.01813,1068285,33043182480,79.93,38.31,-0.31527,New York Stock Exchange,1485480,0,9.15,Finance,2
TFC-H,Truist Financial Corp.,25.51,25.66,25.665,25.45,25.66,39994,25.36,0.3,0.01183,29509,34576080200,27.73,15.82,-0.03217,New York Stock Exchange,28673,0,,Finance,2
DD,"DuPont de Nemours, Inc.",,,51.73,49.26,49.46,6723671,50.37,-0.91,-0.01807,5913441,36293599620,77.03,28.33,-0.25477,New York Stock Exchange,5998522,0,-57.53,Process Industries,4
BCE,"BCE, Inc.",40.77,40.91,40.97,40.28,40.91,992440,40.39,0.52,0.01287,1167856,36996058480,49.58,31.66,-0.10523,New York Stock Exchange,1116809,0,16.48,Communications,1
AEP,"American Electric Power Co., Inc.",81.04,81.44,81.49,80.272,81.44,3547610,79.92,1.52,0.01902,3029131,40360279520,104.97,65.14,-0.11918,New York Stock Exchange,2952494,0,21.82,Utilities,2
BBT,BB&T Corp.,,,,,54.24,0,53.49,0.75,0.01402,4977862,41564274720,55.66,40.68,0.23592,New York Stock Exchange,6088520,0,13.48,Finance,2
LHX,"L3Harris Technologies, Inc.",188,192.95,193.04,186.03,192.95,2259753,184.77,8.18,0.04427,1396165,41652116500,230.99,142.01,0.01667,New York Stock Exchange,2811949,0,22.91,Electronic Technology,4
GD,General Dynamics Corp.,149.23,150.45,150.57,147.51,150.45,1901313,144.65,5.8,0.0401,2187234,43158839250,193.76,100.55,-0.1121,New York Stock Exchange,1619489,0,12.6,Electronic Technology,1
RTX,Raytheon Technologies Corp.,,,53.095,48.12,49.93,18253755,,,,18932348,43247618450,0,0,0,New York Stock Exchange,,18253755,7.71,Producer Manufacturing,3
HMC,"Honda Motor Co., Ltd.",26.45,26.57,26.68,26.33,26.57,2302431,25.99,0.58,0.02232,1001680,45876063729,29.44,19.38,-0.04868,New York Stock Exchange,3942500,0,11.14,Consumer Durables,3
DG,Dollar General Corp.,180.6,187.2,187.2,179.05,187.2,3556398,180.36,6.84,0.03792,2054413,47083608000,187.2,118.2,0.23062,New York Stock Exchange,2550018,0,28.01,Retail Trade,2
NEM,Newmont Corp.,56.89,58.73,58.74,55.75,58.73,14695471,59.21,-0.48,-0.00811,7693112,47135817050,69.13,31.1,0.34049,New York Stock Exchange,11325282,0,13.55,Non-Energy Minerals,3
NSC,Norfolk Southern Corp.,181.72,184.98,185.39,181.6,184.98,1332164,179.72,5.26,0.02927,1482922,47387991420,219.88,112.62,-0.02233,New York Stock Exchange,1326592,0,19.98,Transportation,3
PNC,"The PNC Financial Services Group, Inc.",118,116.6,118,112.3,116.6,4416476,109.56,7.04,0.06426,3217174,49468716000,161.79,79.41,-0.20584,New York Stock Exchange,4167374,0,10.82,Finance,2
EQNR,Equinor ASA,15.27,15.26,15.335,15.02,15.26,2663556,15,0.26,0.01733,4800237,50434404958,21.04,8.41,-0.22987,New York Stock Exchange,2494713,0,27.22,Energy Minerals,3
CEO,CNOOC Ltd.,115.78,114.52,115.78,111.91,114.52,123695,113.02,1.5,0.01327,155491,51130317000,181.13,81.11,-0.30363,New York Stock Exchange,119557,0,5.79,Energy Minerals,2
GPN,"Global Payments, Inc.",178.34,177.75,179.63,173,177.75,1749830,177.43,0.32,0.0018,1765586,53166091500,209.62,105.54,-0.0319,New York Stock Exchange,1556702,0,83.51,Technology Services,1
CNI,Canadian National Railway Co.,86,86.12,86.36,84.69,86.12,1019929,85.33,0.79,0.00926,1114996,61127976000,96.53,65.13,-0.04154,New York Stock Exchange,822437,0,18.52,Transportation,3
PUK-A,Prudential Plc,26.28,26.69,26.69,26.28,26.69,10160,26.3,0.39,0.01483,14514,69630368348,28.53,17,-0.01817,New York Stock Exchange,8267,0,,Finance,2
